,air_pressure_at_mean_sea_level_sd,air_pressure_at_mean_sea_level_corr,air_temperature_tas_sd,air_temperature_tas_corr,toa_outgoing_longwave_flux_sd,toa_outgoing_longwave_flux_corr,toa_outgoing_shortwave_flux_sd,toa_outgoing_shortwave_flux_corr,precipitation_flux_sd,precipitation_flux_corr,air_temperature_500_sd,air_temperature_500_corr,relative_humidity_sd,relative_humidity_corr
HadAM3-7#03,1.0772193419314884,0.9671270536861137,1.0222883435556125,0.9925877153819581,1.044951351602838,0.9664642022831907,1.0124781834852095,0.7653992572160574,0.8380577086146075,0.8224330548877679,1.0499568860755946,0.9984391480087356,0.9419558275887787,0.9073625068710023
HadAM3-7#04,1.0790469756653824,0.9660222700448285,1.0080108073391696,0.9925149813256754,1.0170369569668485,0.9710696891643015,1.0128081934638158,0.7616001040167313,0.891600371713924,0.8164583546939308,1.0136600655417392,0.998435951697494,0.9413408747521282,0.9245143137506838
HadAM3-7#05,1.074701433076011,0.9655986412983425,1.0258738266198402,0.9930423272412942,1.0045787093390983,0.9730263972821581,0.9618649079498529,0.7333699642251595,0.8670042600101534,0.8092752488931646,1.017436204159086,0.998480585631271,0.9101957588253147,0.9257296682148047
HadAM3-7#07,1.1144177400488773,0.9653108395323083,1.0380391661279555,0.9930314881239027,1.04407818687196,0.9693524191327331,1.0858695652844303,0.7847121777487549,0.8678864827316866,0.8446082960457583,1.054625645427522,0.9985990200927685,0.9318816529655144,0.9089616428790019
HadAM3-7#08,1.0978882624012751,0.9666006444865534,1.0254627406411938,0.9923918335617953,1.0606058209081741,0.9638488615820923,0.9982902583081412,0.7737524703726457,0.8470725451400064,0.8109753239299314,1.0623809934639743,0.9983313064119248,0.9203726873906531,0.8866563400986104
HadAM3-7#09,1.1136195733745997,0.9659271594817654,1.0124316549888006,0.9924647980945989,1.02586546475583,0.9692104443875409,0.9975113024968169,0.7668141061363353,0.8684176760673858,0.8223464652603975,1.0286693114277377,0.9983921971807337,0.926893552845078,0.9213529161871215
HadAM3-7#10,1.0985289010100818,0.9703579170260985,1.01642982099836,0.9923593408111924,1.0416564551607996,0.9687999142376109,1.009822962363807,0.7748083268815253,0.8674766653840749,0.825496536347259,1.0438952193989086,0.9985459529400335,0.9402570294817103,0.9142027244808063
HadAM3-7#11,1.077010618813003,0.9675334428996778,1.0270231755742014,0.992267836653,1.0376066187137767,0.9656310251529333,0.9785179753882021,0.7442754245410944,0.8391786199206654,0.8069896748322339,1.0389555474848617,0.9982721451348672,0.8922037644015994,0.9041810744116435
HadAM3-7#13,1.1030193759243574,0.970324749824555,1.0175935868392798,0.9925707818404021,1.0569557374264231,0.966154736451853,0.9991473625713497,0.7729483429051713,0.8524394189789998,0.8193663484783148,1.0540153108408525,0.9984484911368073,0.9230567748515724,0.9018799060498117
HadAM3-7#14,1.0814390617865177,0.9657354032014435,1.0342087293159772,0.9924617321003425,1.0473139631948682,0.9663046500946736,1.0493525098588061,0.7818347256389743,0.8507196767017218,0.8416321654407967,1.0581916554823525,0.9984939054775168,0.9415271018092739,0.899535620208569
CE7-MM,1.0908130826163005,0.9678338349377708,1.0225556454770723,0.9927453802117098,1.0364688220820564,0.9694392278727154,0.9952232532844815,0.7781725132398946,0.8529876040489806,0.827764191544099,1.0420713449234822,0.9985468675140636,0.9235176923883689,0.9128565301851753
