,sat,precip,sat_TCR4,sat_TCR,precip_TCR4
7P,0.25694456054199544,4.643630015491508e-07,0.18212263648527113,0.0849025754153477,1.7804369976294356e-07
7PR,0.21252028254697572,3.2960020626310076e-07,0.13494171630992827,0.06590030227888931,1.3298125824429187e-07
NoIce,1.2726008573210539,2.4159653676494694e-06,0.391067438188114,0.22590337168437713,4.2812914764854077e-07
NoIceR,0.33104327978271664,6.744349082503455e-07,0.1671251626495696,0.08966613396249862,1.860277540379145e-07
14P,3.9035392680009604,2.717729616842558e-06,1.6808494985866071,0.8637145157780179,1.1583668616882595e-06
14PR,0.6115529453060395,6.832762463578494e-07,0.25511328689053303,0.14108235967186603,2.2956534271660734e-07
SigP,3.9035392680009604,2.717729616842558e-06,1.6808494985866071,0.8637145157780179,1.1583668616882595e-06
SigPR,0.6115529453060395,6.832762463578494e-07,0.25511328689053303,0.14108235967186603,2.2956534271660734e-07
