,sat,precip,sat_TCR4,sat_TCR,precip_TCR4
7P,6.285760201902007,1.9520077154410948e-06,4.748532058747265,2.089568626435251,0.0520254355311382
7PR,6.316064995353035,1.5301459479463644e-06,4.674173583494417,2.1438186394904704,0.052025492322556634
NoIce,6.285760201902007,1.9520077154410948e-06,,,
NoIceR,6.269106095393835,6.114817059231452e-07,,,
14P,6.285760201902007,1.9520077154410948e-06,,,
14PR,7.0625846543931114,4.165381341656341e-07,,,
SigP,6.285760201902007,1.9520077154410948e-06,4.748532058747265,2.089568626435251,0.0520254355311382
SigPR,7.0625846543931114,4.165381341656341e-07,5.018164609640049,2.42075241750924,0.05202587110259971
