,ts_cet_2xCO2,ts_t15_2xCO2,ts_sst_2xCO2,ts_ot_2xCO2,ts_rtoaswu_2xCO2,ts_rtoalwu_2xCO2,NetFlux_2xCO2,ClrNetFlux_2xCO2,ts_rtoaswuc_2xCO2,ts_rtoalwuc_2xCO2,ts_t50_2xCO2,ts_nao_2xCO2,ts_tppn_2xCO2,ts_aice_2xCO2,ts_nathcstrength_2xCO2,F_2xCO2,Fclear_2xCO2,ECS_2xCO2,lambda_2xCO2,lambda_2xCO2_C,F_2xCO2_LW,lambda_2xCO2_LW,F_2xCO2_SW,lambda_2xCO2_SW,F_2xCO2_LWC,lambda_2xCO2_LWC,F_2xCO2_SWC,lambda_2xCO2_SWC
M:/time_cache\xjwgy1.000100,2.882473187451165,2.6176995775666656,1.6609567720988085,0.11876598610841752,-1.7458860146923394,1.579084562055621,0.1667709350585936,0.39287638307686956,-1.7211421834621208,1.328235282807126,3.2032640792790135,1.8526023505576839,1.1442310673891838e-06,-5.690862749035792,-1.9055504469306594,4.193786569664609,4.04241717603303,2.964626489188518,1.4146087491826123,1.3686567773232938,2.7985024992489116,1.6437346114694447,1.3953145879938234,-0.22912586228683177,3.826135728200861,1.946888079664338,0.21631196541029418,-0.5782313023410441
M:/time_cache\xjwgy2.000100,2.695320413505008,2.5454503988791637,1.6086619573399146,0.1088157621519848,-1.6023900021882156,1.435588549551497,0.16677093505859303,0.3922884480199335,-1.6006370243076944,1.208318058709636,3.1685270208332033,1.7486753860691864,1.065468914399697e-06,-5.458175492061392,-1.4447130012508418,4.510817311272784,4.180971024290278,2.883574600563287,1.564314413919316,1.4550345809282477,3.037490380246839,1.7397029041547138,1.4733574486040704,-0.17538849023539743,3.9796414186580216,2.0136341393931785,0.20136012321038385,-0.55859955846493
M:/time_cache\xjwgy3.000100,3.5037765828523124,2.3876620951674115,1.4933611741503523,0.10434630763866991,-1.4472630383174723,1.2804615856807535,0.16677093505859372,0.6472739168154065,-1.563130499091489,0.9158260646979574,2.974923096787082,3.947297219675727,9.424959158729059e-07,-4.854226709683288,-0.6234056701663799,4.248875928654751,3.978429360478696,2.8581244141767193,1.486595862510288,1.3288182289221955,2.9603250004269035,1.7032038887910232,1.288581445805972,-0.21660802628073553,3.8734820314102114,1.9563344762462564,0.10497784664661014,-0.6275162473240607
M:/time_cache\xjwgy4.000100,3.084831886415698,2.6006803751676024,1.6483626275029533,0.11134827178688578,-1.7112433661928956,1.544441913556176,0.16677093505859397,0.3793872160836573,-1.6451351423734641,1.265717408711681,3.1508478177261487,0.408736753726982,1.139003699154966e-06,-5.353340095462513,-0.883285388121984,4.077966475094924,4.069589958327032,2.9670844496183935,1.374401889915673,1.3880333306253427,2.808579430670745,1.6471398717296795,1.2694175620023043,-0.2727379818140067,3.7982214828651815,1.9275160996085594,0.2713989930399745,-0.5394827689832168
M:/time_cache\xjwgy5.000100,2.5165145813695693,2.45988543549424,1.5116461279005544,0.08710469016932627,-1.6092831438935433,1.4424816912568243,0.1667709350585944,0.5497074126386075,-1.636898162208668,1.0871602319919358,2.992266662383278,2.103381367401523,9.993901477575366e-07,-5.5485941652354915,-1.1015387580861828,4.623818523211016,4.0411551234327145,2.790520810640322,1.6569733168017549,1.3824519889274374,3.0269512246832946,1.779772911938085,1.5968978161058465,-0.1227995951363299,3.973954768031574,2.027493140735436,0.06723087297926787,-0.6450411518079983
M:/time_cache\xjwgy6.000100,2.522483364579962,2.3718252156928057,1.439710902168765,0.08427507642400985,-1.3096123328657627,1.1428108802290444,0.1667709350585935,0.634830447806501,-1.5011373962887455,0.8662764309041195,3.0404790931553722,2.64352660303195,9.61889071708192e-07,-4.8721665525735345,-0.5369368457528766,3.8691452846916086,3.9961304505302873,3.1476046032794804,1.2292348539141025,1.365627835401099,2.9401989937773294,1.6831023641889402,0.9289768084924045,-0.4538675102748376,3.8508719968936758,1.945964655276187,0.14528897121473644,-0.5803368198750877
M:/time_cache\xjwgy7.000100,2.597760371715447,2.3947795230604227,1.473662353382736,0.07985848564824802,-1.512291612619368,1.3454901599826494,0.16677093505859372,0.6506065000460595,-1.6245251135670773,0.9738880959428922,2.9321676414967177,2.914807407194606,9.684639048551832e-07,-5.296355752976414,-0.5055190131992063,4.343375258705258,3.978714907668451,2.9153787187242033,1.489815107316815,1.32712885011918,2.9122090271959182,1.7058611526888117,1.4311967490874649,-0.21604604537199634,3.9067167248308925,1.984338819492328,0.07202870041568368,-0.6572099693731477
