,relative_humidity_sd,relative_humidity_corr,precipitation_flux_sd,precipitation_flux_corr,air_pressure_at_mean_sea_level_sd,air_pressure_at_mean_sea_level_corr,toa_outgoing_longwave_flux_sd,toa_outgoing_longwave_flux_corr,toa_outgoing_shortwave_flux_sd,toa_outgoing_shortwave_flux_corr,air_temperature_500_sd,air_temperature_500_corr,air_temperature_tas_sd,air_temperature_tas_corr
GFDL-CM3,1.0576694084213158,0.9769489703888228,0.917166448353938,0.8855515098380309,1.1360552645551996,0.9804977698440481,1.0218008841612838,0.9668278572274397,1.0591259910752835,0.8149337900239821,1.0955461463331366,0.9986085524578747,0.974142848471423,0.9912862896212273
CanAM4,0.9239805925808069,0.9436652712233792,0.8804588136376846,0.7612325234583726,1.0679299003973246,0.9677420724571846,1.038661404028782,0.9590377178175623,1.0401957425944302,0.8184233707495745,1.061367051729335,0.9987079100132544,0.9815997795278313,0.9865705339344115
CMCC-CM,0.9224576959591451,0.946393933551309,0.8837055089453378,0.8308975645389958,0.9106918449073031,0.9868601869618926,0.9690219126272341,0.9798818536959094,1.140608067593453,0.872437185149781,0.9805363325814531,0.9987053777265604,1.016462269227126,0.9946623460109539
CNRM-CM5,1.0834821961962005,0.9068201532936762,0.8210988634215619,0.8485188546300766,0.9502219192714915,0.9819882769593723,0.9589488870118074,0.9589549459943869,1.054904434029985,0.5577926037562907,1.029133887372628,0.9976316593911339,0.999711745375971,0.9902559060865026
ACCESS1-0,0.9226898472831815,0.9445067947756669,0.9742991682718108,0.8548832204814365,1.1084251200184614,0.9679878975602189,1.0909565359143079,0.9656405582871042,0.9578458390907422,0.8369541706664732,1.0115317827087194,0.9989322422226008,0.9931991547554154,0.9916257536603071
ACCESS1.3,0.9548983763606192,0.9611193127566184,1.2379389524703837,0.877454304383082,1.0731127179756903,0.9663746150593993,1.129157592525749,0.9764509781219208,0.9254563561321403,0.7810179977424714,1.0291606782304539,0.9985549823744143,0.9570576486543018,0.9900342186116646
CSIRO-Mk3-6-0,1.0223545789537822,0.9604069312071283,1.2464090394715663,0.8756083646940349,1.1154267115186014,0.9595359323034534,1.0691013546355406,0.974117389018264,0.9651388526071513,0.7383986379734085,1.019969701697687,0.998679629563179,0.977321898920461,0.9918860289227267
bcc-csm1-1,0.8588478569093685,0.9075253383697206,0.9222359017339303,0.806219690241536,0.9994628259957541,0.9507120745311177,0.960549525984533,0.9699116058766037,1.0111668448217788,0.7837980280157282,0.9690527130197178,0.997144627707805,0.9649218086451382,0.9881267778058583
inmcm4,0.8116280232624175,0.9147053355088642,1.2105891795661659,0.85176485427701,1.0606168154069235,0.9722122454419228,1.044012133169856,0.9615883073555952,0.8788678756120066,0.7800841670925889,0.9876544490335692,0.9974205088218243,0.9442185876948295,0.989333516532198
IPSL-CM5A-LR,1.0091774880306148,0.9325723464396196,1.1056574024315668,0.8135027782671698,1.0659261277672196,0.7825474161696483,1.088536436947505,0.9557427171901052,1.162250440375456,0.6912226803790785,1.0222925720557552,0.9963017219862738,0.9441022413241195,0.9899535269653688
IPSL-CM5A-MR,0.9853232451364615,0.9615343302657842,1.1536134410874543,0.8266706067377394,1.077013646883489,0.8264567061327457,1.1033741372277526,0.9579038432694912,1.141505491943087,0.7184373629946591,1.0080089206177565,0.9978236697683445,0.9351091168121837,0.991679158321492
IPSL-CM5B-LR,1.0964814141526726,0.875717271900156,0.9994096700371632,0.788534383930415,1.1392484844917965,0.5405344076932037,1.0497363192759654,0.9597473645555948,1.0720809744377353,0.7523769441599012,1.0153720174785112,0.9933910428092428,0.9753405417284539,0.9900158234765577
FGOALS_g2,0.6597093853379198,0.8820873756694098,1.0524994763648237,0.6682005925935028,0.7943327420927736,0.9379574016941399,0.9913667142138313,0.9573614302113462,0.9111553767316498,0.7488932168600687,0.9210122836856223,0.9968902905920913,1.0121095247666503,0.9937449809434481
FGOALS-s2,1.232873895149911,0.8737837906258884,0.7851846860377227,0.8013354409132486,1.1091405406180281,0.9707219583793157,0.9726840774598535,0.9702745186758984,0.9759184912690524,0.7179244406551537,1.019459194431701,0.9966959459418407,0.9500993268039478,0.9883131224544314
HadGEM2-A,0.9237687128397557,0.9407664916460724,0.9409070200479521,0.8567916799790536,1.0945001303624455,0.9686072322465689,1.089966107990933,0.9645505930272176,0.9316030608727601,0.8299176566151342,1.003840263276963,0.9986724276497557,0.9829497702827651,0.9915244257354938
bcc-csm1-1-m,0.8409295760627494,0.9520429737213868,0.866381519097951,0.8455025942637978,1.2106639410813094,0.9636905076980459,0.9786682578688681,0.965717714470124,0.9743247049971321,0.7528721505859032,0.9598912381010912,0.9981134567848122,0.9807778665955463,0.9921924789842682
MPI-ESM-LR,1.0070286170799059,0.9273696095490822,0.9196341221115277,0.8675042711975124,1.004467844207792,0.9869457424570319,0.9759208598248764,0.9708529524069809,1.1181385961773482,0.8250028329694475,0.9950670087378938,0.9982898018671723,0.9890439748965602,0.9929615270425622
MPI-ESM-MR,1.0063407150875878,0.9113796942831114,0.910685138311597,0.8721965011295046,0.9515668315764457,0.9832375037747774,0.97502899817891,0.9620727423110521,1.1351641049628982,0.8212219565517425,0.9942965213546511,0.9981027849235673,0.9843550342085399,0.9930376299682742
GISS-E2-R,0.49100750411633964,0.8264097180689087,1.1681660850159872,0.840239615904867,0.8992031744347144,0.9771815169864455,0.8875391205957779,0.9699529924108928,1.0063901175370582,0.6524609474142299,1.0538282168291229,0.9969966680201708,1.0401271335748772,0.9905880302526788
CCSM4,0.9137712566037979,0.945265270008782,1.0529573131636247,0.8551334486960542,1.1191222160778844,0.9689497828128338,0.9897686173011117,0.9671800971466249,1.1522256117199914,0.7588807819997789,1.0069069622523255,0.9983768831471773,0.9480077922453999,0.9919797644664003
NorESM1-M,1.0196294725849455,0.9531437663476106,1.0870966447258086,0.830300066736588,1.1232647615302915,0.9722213719316751,1.021482418648749,0.960682613218441,1.0943738227311282,0.7327521112777124,1.0632922659983022,0.9981882712294493,0.9744274731121122,0.9894844621951437
GFDL-HIRAM-C180,0.9973094650131604,0.972111134581335,1.0678239336944038,0.8751275177802833,1.2214246444670154,0.9739341235410173,0.9814663000667746,0.9854467901639604,1.0630280717891378,0.8402938393819291,0.9737562277992526,0.9991442939002279,0.973560755285073,0.9928822263506746
BNU-ESM,0.9950559490407488,0.945830598594948,1.0550752548745994,0.7934384062691104,1.1020229521598865,0.9658122969180555,1.0080924967343092,0.9699420403845387,0.9965846109339567,0.7315748138861985,1.0368327094079595,0.997011189021223,0.9529462444042408,0.9855692426015172
GFDL-HIRAM-C360,0.9651816638776471,0.9774353682738278,1.05475379123935,0.8887876100532146,1.1966942764707353,0.9710179990361942,0.9882692293313958,0.9869053774764334,1.019493372598384,0.8533438013948527,0.9630477173798739,0.9994373056757835,0.947406041707085,0.9920987453136514
