,air_pressure_at_mean_sea_level_sd,air_pressure_at_mean_sea_level_corr,air_temperature_tas_sd,air_temperature_tas_corr,toa_outgoing_longwave_flux_sd,toa_outgoing_longwave_flux_corr,toa_outgoing_shortwave_flux_sd,toa_outgoing_shortwave_flux_corr,precipitation_flux_sd,precipitation_flux_corr,air_temperature_500_sd,air_temperature_500_corr,relative_humidity_sd,relative_humidity_corr
HadAM3-DFO14#1,0.9896980171697752,0.9604284603253889,1.0040264873558233,0.9925329497998455,1.057230461441354,0.9688583353825688,1.051965563735535,0.7715762960031036,0.8963706859971562,0.8308423540664205,1.0372305609851111,0.9987259667748313,0.9304768579004535,0.929833529857965
HadAM3-DFO14#2,1.037515151005575,0.9743802606733049,0.9921400210055025,0.9910887072656279,1.0547677055155202,0.963170909627942,1.114860876901536,0.7664245979753677,0.9208302143511937,0.8349146747242144,1.052733046971623,0.9984142485710886,0.9670452584699449,0.9064569955504276
HadAM3-DFO14#3,1.0291904454001415,0.9742023160346115,0.998100411026327,0.992105541056425,1.0453949956305506,0.9707587309544209,1.0533600472592801,0.7843493317094289,0.8846103486425995,0.8292559121639309,1.0350922370813087,0.9986605408377296,0.943253718403216,0.9318542082168585
HadAM3-DFO14#4,0.991218209127306,0.9742883513972993,1.0021760851589194,0.9921395455111287,1.04270380678068,0.9695066814213485,1.0627323490750316,0.7773535796136344,0.9172109959345927,0.8256212704478045,1.0450542277432144,0.9985653045068162,0.9669880178122517,0.9271859382832754
HadAM3-DFO14#5,0.9871666166361897,0.9743779815704808,0.9980371798718826,0.991104894990994,1.0192462789530656,0.9686410976953849,1.0582418215877996,0.7763734543341312,0.9446532628894736,0.8232804525285738,1.041746608074063,0.9983330314137936,0.946499231278104,0.9195244474059006
DFOLS-MM,1.0057120437892382,0.9727861594175632,0.9986932622395809,0.9919976956480632,1.0430321101746955,0.968953218801432,1.0614793238211433,0.7800510664231374,0.906683058102076,0.8342737186313709,1.0422993988973641,0.9986081713409134,0.9489032160510574,0.9247845882725476
