,ts_cet_4xCO2,ts_t15_4xCO2,ts_sst_4xCO2,ts_ot_4xCO2,ts_rtoaswu_4xCO2,ts_rtoalwu_4xCO2,NetFlux_4xCO2,ClrNetFlux_4xCO2,ts_rtoaswuc_4xCO2,ts_rtoalwuc_4xCO2,ts_t50_4xCO2,ts_nao_4xCO2,ts_tppn_4xCO2,ts_aice_4xCO2,ts_nathcstrength_4xCO2,F_4xCO2,Fclear_4xCO2,ECS_4xCO2,lambda_4xCO2,lambda_4xCO2_C,F_4xCO2_LW,lambda_4xCO2_LW,F_4xCO2_SW,lambda_4xCO2_SW,F_4xCO2_LWC,lambda_4xCO2_LWC,F_4xCO2_SWC,lambda_4xCO2_SWC
M:/time_cache\xfqqp1.000100,6.416924625329191,5.823931689297951,3.733845555767517,0.36029240487717284,-3.182120810895965,3.0153193582592457,0.16677093505859433,0.40700409745861477,-3.5591158342590834,3.1520812192223437,7.040174332761368,2.9489396954793596,1.948549692818017e-06,-12.531075907464903,-6.878090001235305,7.709948433982863,7.720248423300056,6.167651589719274,1.2500622517060482,1.2488245250448833,5.295685086218917,1.422453191881143,2.414293865342072,-0.17239094017509407,7.491797014421709,1.8230094260372507,0.228481926456473,-0.5741849009923674
M:/time_cache\xfqqp2.000100,6.004124444974932,5.870987922383565,3.771978748349231,0.35183933991878613,-3.301928564218648,3.135127111581929,0.16677093505859408,0.3671123884369795,-3.6258377382669815,3.2586948322518756,7.023189062290473,1.194514800834392,1.8924569226416748e-06,-13.299319590381955,-8.033529759300222,7.564812007755912,7.749470000072389,6.303928010140995,1.2000156086152254,1.2488858889823555,5.197379761812715,1.403722894693505,2.3674627635213215,-0.2037072860782801,7.510939767380321,1.824219640759219,0.23856075027018966,-0.5753337517768644
M:/time_cache\xfqqp3.000100,5.723854335022716,5.711174946169621,3.6518657377171158,0.33302600562835943,-3.13746005723943,2.970658604602711,0.16677093505859347,0.5143559447461602,-3.5137578667729255,2.9993714044486404,6.846713110278811,1.8750594934617766,1.8477022483823763e-06,-12.578994462896862,-5.127941815293617,7.851198990008644,7.67967644957894,6.140915584955065,1.2785062555237996,1.2414361398366653,5.221763240614444,1.420691918482359,2.6294662669723246,-0.14218566295855958,7.481490809192392,1.8237565290980602,0.19821615796467512,-0.5823203892613948
M:/time_cache\xfqqp4.000100,6.595190390035553,6.034822087131416,3.896936675053001,0.3585802936310406,-3.4195057843619314,3.252704331725213,0.16677093505859375,0.18291065837498852,-3.6810091703262127,3.4980679943731,7.273950643510497,2.110385572952982,2.0651541920339415e-06,-13.33878177008611,-7.122088227397256,7.503360401678168,7.710920744337994,6.443923358754563,1.1644086969911396,1.2389053776067098,5.122717680022922,1.3801413636972313,2.3806732392333703,-0.21573266670609237,7.420112419315189,1.8014935618523982,0.29083884260092746,-0.562588184245689
M:/time_cache\xfqqp5.000100,6.191635012146205,5.738801510246268,3.7192911057817453,0.33590548991323105,-3.2802725903851777,3.1134711377484585,0.16677093505859433,0.3900833711002766,-3.491081230545673,3.1009673418672707,6.967375600451717,3.0296542999442457,1.921343748588021e-06,-12.515022808605927,-7.5350567355833205,7.9435773351311685,7.9078191007988625,6.102578441679959,1.3016755804198081,1.2982900105044972,5.508891823292367,1.4881049010887226,2.4347160294169283,-0.1864293206689147,7.638134399730356,1.8607277072418265,0.269715218646632,-0.5624376967373297
M:/time_cache\xfqqp6.000100,6.291177895915072,6.044171597806176,3.88203347317663,0.34032017907841045,-3.5481258817678545,3.381324429131136,0.16677093505859347,0.14275982516347097,-3.719984438963776,3.5771940962221818,7.249053822826586,2.8047000217500946,2.0122929049464393e-06,-13.693926814774494,-6.216685433999516,7.185638776624039,7.557245538438815,6.585010481645074,1.0912114409921054,1.2115746735772626,5.090396287656061,1.3838235857369843,2.0952730065461074,-0.29261214474487784,7.409246442052875,1.8038959180179126,0.1480296139640611,-0.5923212444406509
M:/time_cache\xfqqp7.000100,6.465030017960711,5.985991519198788,3.894377542735786,0.3394473493379705,-3.4321481182951152,3.2653466656583987,0.16677093505859375,0.14684088206154727,-3.641250132396964,3.494378732757293,7.204068645479229,1.9623116109520926,1.976554298677195e-06,-13.064568589994524,-7.322168072784286,7.632161287707668,7.794626194283152,6.25631394641912,1.219913411166975,1.2721091767961008,5.233137970425392,1.4161138495002294,2.3990538348604025,-0.1962004383332544,7.536896822692277,1.8387406935977524,0.25775988916900006,-0.5666315168016515
